id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating,bedrooms,beds,baths,crime_count,distance_to_statue_of_liberty,distance_to_times_square,distance_to_central_park,distance_to_empire_state_building,distance_to_brooklyn_bridge,distance_to_rockefeller_center,distance_to_one_world_trade_center,distance_to_broadway,distance_to_grand_central_terminal,distance_to_the_metropolitan_museum_of_art,distance_to_american_museum_of_natural_history,distance_to_9/11_memorial_and_museum,distance_to_fifth_avenue,distance_to_chrysler_building,distance_to_the_high_line
33097219,Staten Island,40.61483,-74.08846,Entire home/apt,300.0,30,45,2023-08-26,0.8,1,179,7,4.91,4,5,3.0,6409,9.067750508888539,18.235380540820966,21.472315973531167,17.246808390307372,12.75381073702251,18.48663031281081,12.595040921693634,18.273167699973556,17.974403354161325,21.129384984779584,20.877519424545962,12.476300912421797,20.639259435891816,17.958075604373185,16.402898195079825
27551715,Brooklyn,40.61792,-74.00731,Entire home/apt,160.0,30,28,2023-07-27,0.43,2,170,1,4.82,2,3,1.0,39821,8.529232834068559,15.786973423037134,18.877428932293935,14.671568237387069,9.843127330662451,15.843524378230978,10.556156082171219,15.80633344773639,15.202820737320089,18.340043063724824,18.38555896785058,10.418537746987836,17.85901629990352,15.11312139536156,14.46493972657721
673528504700098825,Manhattan,40.83612,-73.94418,Private room,104.0,30,27,2023-09-24,1.53,2,90,19,4.89,1,1,1.0,31809,18.38773106411444,9.252963128332317,6.025922514678204,10.309998052038523,15.124455763230154,9.080985625586374,14.90530124415948,9.2205788552876,9.681343772411635,6.503883929550891,6.589296072036607,15.032126384433155,6.989994000477164,9.751168684713658,11.047175406627453
726667728496451227,Bronx,40.86457,-73.84112,Entire home/apt,75.0,30,39,2023-09-01,3.32,2,268,39,4.87,2,3,1.0,32248,25.94871271083041,16.880773699588286,13.877817357298603,17.697052019941587,21.965739849712737,16.50739018783937,22.256231233137463,16.832132408670052,16.908311380042075,13.971876564371394,14.514799222370428,22.36084130336384,14.426092169976801,16.888026582661595,18.913988532503957
20708503,Manhattan,40.85143,-73.94203,Private room,28.0,60,44,2023-09-19,0.57,1,249,2,4.32,1,1,1.0,31809,19.992191547027808,10.91006544209383,7.700324768871587,11.980540694048802,16.808090878175264,10.758238680180021,16.550253549295192,10.879695704598653,11.368241932526555,8.20190546793172,8.246299555960022,16.67863122492274,8.685343627441034,11.442997653575391,12.656050855844335
592679984594951626,Queens,40.69394,-73.83453,Private room,115.0,30,62,2023-09-01,2.89,2,365,32,4.61,2,3,1.0,29765,17.710703827486505,14.602087678929038,15.15645109519864,14.104959693860936,13.751347088405861,14.122989833721999,15.22085695676127,14.560264788509519,13.687180773698017,14.421765141629614,15.246974031151677,15.202434044407411,14.284579889872397,13.488251386305285,15.554445181956135
774997494059685168,Brooklyn,40.67243,-73.87821,Entire home/apt,114.0,30,3,2023-09-01,0.23,5,249,2,5.0,2,2,1.0,39821,14.146694392834027,13.177397755596573,14.64730938604884,12.402207122105258,10.68128821666881,12.798452103541717,12.24621263034702,13.148890713980038,12.221721754154332,13.889700444166236,14.551771575346505,12.196320992753227,13.614288764514615,12.024187486337572,13.578634296600482
59121,Queens,40.70271,-73.8993,Entire home/apt,262.0,30,4,2023-02-10,0.03,9,365,1,4.75,3,6,1.0,29765,12.332563216846133,9.55703478738636,10.848375016298233,8.885999278418295,8.232732244243921,9.140458703517501,9.680560982399893,9.523543408790522,8.605379263949,10.090143451309876,10.770615734971452,9.665491752988927,9.825868063372068,8.404915044857393,10.214532079693342
629802358927619607,Brooklyn,40.62892,-73.99328,Entire home/apt,115.0,30,5,2023-04-30,0.29,1,365,2,4.2,1,1,1.0,39821,7.979127358273126,14.468996026262793,17.492764848378993,13.348365817400525,8.585790580265153,14.487753004108036,9.473513471870334,14.484507093456987,13.83295559129408,16.92715310628103,17.02439852682383,9.337956484964009,16.45273595848991,13.73101192188835,13.275560860353108
22401504,Brooklyn,40.67548,-73.87881,Entire home/apt,160.0,30,151,2023-06-03,2.06,1,362,7,4.81,2,4,1.0,39821,14.055258525358779,12.896700023075471,14.3315736902607,12.134796396991634,10.519142142592969,12.511940820968237,12.078410277457515,12.867453864834724,11.940883267438041,13.573640773254295,14.242174089064747,12.03170683748555,13.302384260697178,11.742774689306259,13.33093230403631
